normalized_condition_name,display_name,profile_count,dosha_combinations_present,relevant_fields_complete,missing_or_placeholder_fields,symptoms_completeness_score,dosha_clarity_score,diet_lifestyle_completeness_score,prevention_completeness_score,complications_referral_completeness_score,within_group_symptom_coherence,symptom_distinctiveness_score,distinctiveness_score,rule_potential_score,external_source_availability_status,external_source_availability_score,manageable_scope_status,manageable_scope_score,preliminary_data_score,selection_score
osteoporosis,Osteoporosis,2,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,0.28825378403927704,0.7180376037149826,0.7180376037149826,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7668037603714982,0.7668037603714982
pancreatic cancer,Pancreatic Cancer,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.490096811296027,0.490096811296027,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7440096811296026,0.7440096811296026
pancreatitis,Pancreatitis,2,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,0.8336336389685021,0.39374250810301237,0.39374250810301237,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7343742508103012,0.7343742508103012
paracoccidioidomycosis,Paracoccidioidomycosis,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6401163287393372,0.6401163287393372,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7590116328739337,0.7590116328739337
parkinson s disease,Parkinson's Disease,2,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,0.5070299872061633,0.8772390213872924,0.8772390213872924,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7827239021387292,0.7827239021387292
pelvic floor disorders,Pelvic Floor Disorders,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8067403763476635,0.8067403763476635,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7756740376347663,0.7756740376347663
peptic ulcers,Peptic Ulcers,2,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,0.23577033983032974,0.5894898180319139,0.5894898180319139,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7539489818031914,0.7539489818031914
peripheral artery disease,Peripheral Artery Disease,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.9078869553693032,0.9078869553693032,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7857886955369303,0.7857886955369303
peutz jeghers syndrome,Peutz-Jeghers Syndrome,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8891500315792479,0.8891500315792479,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7839150031579247,0.7839150031579247
pfeiffer syndrome,Pfeiffer Syndrome,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6561608351328021,0.6561608351328021,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7606160835132801,0.7606160835132801
phenylketonuria pku,Phenylketonuria (PKU),1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5552876212834925,0.5552876212834925,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7505287621283492,0.7505287621283492
pinta,Pinta,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5286423555774444,0.5286423555774444,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7478642355577444,0.7478642355577444
pneumocystis pneumonia,Pneumocystis Pneumonia,2,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,0.5332087607532633,0.2793674982165305,0.2793674982165305,1.0,not yet verified,0.0,not manually reviewed,0.5,0.722936749821653,0.722936749821653
pneumonia,Pneumonia,2,"Vata | Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,0.5,1.0,1.0,1.0,0.3381735228927155,0.20717072262368907,0.20717072262368907,0.9,not yet verified,0.0,not manually reviewed,0.5,0.643717072262369,0.643717072262369
pneumonic plague,Pneumonic Plague,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.32287163182290834,0.32287163182290834,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7272871631822908,0.7272871631822908
polio,Polio,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.703740115171677,0.703740115171677,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7653740115171677,0.7653740115171677
polycystic kidney disease,Polycystic Kidney Disease,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5564724352623571,0.5564724352623571,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7506472435262357,0.7506472435262357
polycystic ovary syndrome pcos,Polycystic Ovary Syndrome (PCOS),1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6719870437580027,0.6719870437580027,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7621987043758002,0.7621987043758002
polycythemia vera,Polycythemia Vera,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7778763480755557,0.7778763480755557,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7727876348075555,0.7727876348075555
porphyria,Porphyria,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6946192048660972,0.6946192048660972,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7644619204866097,0.7644619204866097
post traumatic stress disorder ptsd,Post-Traumatic Stress Disorder (PTSD),1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7248054547099728,0.7248054547099728,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7674805454709972,0.7674805454709972
prader willi syndrome,Prader-Willi Syndrome,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7760361127558125,0.7760361127558125,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7726036112755812,0.7726036112755812
primary ciliary dyskinesia,Primary Ciliary Dyskinesia,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8317781243736768,0.8317781243736768,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7781778124373676,0.7781778124373676
prostate cancer,Prostate Cancer,2,"Pitta | Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,0.5,1.0,1.0,1.0,0.14504048225875948,0.5011648433501019,0.5011648433501019,0.9,not yet verified,0.0,not manually reviewed,0.5,0.6731164843350103,0.6731164843350103
prostate enlargement benign prostatic hyperplasia,Prostate Enlargement (Benign Prostatic Hyperplasia),1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.681549960474882,0.681549960474882,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7631549960474882,0.7631549960474882
psoriasis,Psoriasis,2,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,0.25431642559716855,0.6869908089310497,0.6869908089310497,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7636990808931049,0.7636990808931049
pulmonary hypertension,Pulmonary Hypertension,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.15861186337636024,0.15861186337636024,1.0,not yet verified,0.0,not manually reviewed,0.5,0.710861186337636,0.710861186337636
q fever,Q Fever,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.38019621052562314,0.38019621052562314,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7330196210525622,0.7330196210525622
raynaud s disease,Raynaud's Disease,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8536778987456635,0.8536778987456635,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7803677898745663,0.7803677898745663
relapsing fever,Relapsing Fever,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7385795195361748,0.7385795195361748,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7688579519536174,0.7688579519536174
respiratory issues,Respiratory Issues,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.4694068383025699,0.4694068383025699,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7419406838302569,0.7419406838302569
rett syndrome,Rett Syndrome,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.4518980321398368,0.4518980321398368,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7401898032139836,0.7401898032139836
rheumatic heart disease,Rheumatic Heart Disease,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6281499821882441,0.6281499821882441,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7578149982188244,0.7578149982188244
rheumatoid arthritis,Rheumatoid Arthritis,2,"Vata | Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,0.5,1.0,1.0,1.0,0.5031026124151314,0.2472536569451913,0.2472536569451913,0.9,not yet verified,0.0,not manually reviewed,0.5,0.6477253656945191,0.6477253656945191
rickettsial diseases,Rickettsial Diseases,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,not yet verified,0.0,not manually reviewed,0.5,0.695,0.695
rift valley fever,Rift Valley Fever,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.3911138360540828,0.3911138360540828,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7341113836054082,0.7341113836054082
rocky mountain spotted fever,Rocky Mountain Spotted Fever,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.21607863230304314,0.21607863230304314,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7166078632303042,0.7166078632303042
schistosomiasis,Schistosomiasis,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.332267101580071,0.332267101580071,1.0,not yet verified,0.0,not manually reviewed,0.5,0.728226710158007,0.728226710158007
sciatica,Sciatica,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8367193759214432,0.8367193759214432,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7786719375921443,0.7786719375921443
seborrheic dermatitis,Seborrheic Dermatitis,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.512338987286725,0.512338987286725,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7462338987286724,0.7462338987286724
septicemic plague,Septicemic Plague,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.2846754628119348,0.2846754628119348,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7234675462811935,0.7234675462811935
sickle cell anemia,Sickle Cell Anemia,2,"Kapha | Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,0.5,1.0,1.0,1.0,0.2797924823881359,0.6134543986486894,0.6134543986486894,0.9,not yet verified,0.0,not manually reviewed,0.5,0.684345439864869,0.684345439864869
sinusitis,Sinusitis,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.21667619695066698,0.21667619695066698,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7166676196950666,0.7166676196950666
sjogren s syndrome,Sjogren's Syndrome,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7336808132260407,0.7336808132260407,1.0,not yet verified,0.0,not manually reviewed,0.5,0.768368081322604,0.768368081322604
skin allergy,Skin Allergy,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8322840740101997,0.8322840740101997,1.0,not yet verified,0.0,not manually reviewed,0.5,0.77822840740102,0.77822840740102
skin cancer melanoma,Skin Cancer (Melanoma),2,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,0.10112251282501054,0.772581809942139,0.772581809942139,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7722581809942138,0.7722581809942138
skin diseases,Skin Diseases,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.751017662217568,0.751017662217568,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7701017662217567,0.7701017662217567
skin infections,Skin Infections,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.649928635779058,0.649928635779058,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7599928635779057,0.7599928635779057
skin infections bacterial fungal viral,"Skin Infections (Bacterial, Fungal, Viral)",1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.2148753706645884,0.2148753706645884,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7164875370664588,0.7164875370664588
sleep apnea,Sleep Apnea,2,"Vata | Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,0.5,1.0,1.0,1.0,0.23009575785838723,0.9137487427566828,0.9137487427566828,0.9,not yet verified,0.0,not manually reviewed,0.5,0.7143748742756683,0.7143748742756683
sleeping sickness trypanosomiasis,Sleeping Sickness (Trypanosomiasis),1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.4186454363576685,0.4186454363576685,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7368645436357668,0.7368645436357668
sparganosis,Sparganosis,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7370707475485361,0.7370707475485361,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7687070747548536,0.7687070747548536
spinal cord injury,Spinal Cord Injury,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.80722823139618,0.80722823139618,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7757228231396179,0.7757228231396179
spondylosis,Spondylosis,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8086728621283577,0.8086728621283577,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7758672862128357,0.7758672862128357
stomach cancer,Stomach Cancer,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.49170733682705803,0.49170733682705803,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7441707336827058,0.7441707336827058
strep throat,Strep Throat,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.4155341124888047,0.4155341124888047,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7365534112488804,0.7365534112488804
stress,Stress,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7422176698482308,0.7422176698482308,1.0,not yet verified,0.0,not manually reviewed,0.5,0.769221766984823,0.769221766984823
stroke,Stroke,2,"Vata | Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,0.5,1.0,1.0,1.0,0.4588561814070862,0.7447696923628214,0.7447696923628214,0.9,not yet verified,0.0,not manually reviewed,0.5,0.6974769692362821,0.6974769692362821
strongyloidiasis,Strongyloidiasis,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5750684997875789,0.5750684997875789,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7525068499787578,0.7525068499787578
systemic lupus erythematosus sle,Systemic Lupus Erythematosus (SLE),1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.38488542125479774,0.38488542125479774,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7334885421254798,0.7334885421254798
talaromycosis,Talaromycosis,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.34369674752325163,0.34369674752325163,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7293696747523252,0.7293696747523252
tay sachs disease,Tay-Sachs Disease,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.4518980321398368,0.4518980321398368,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7401898032139836,0.7401898032139836
tendinitis,Tendinitis,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6946316274300957,0.6946316274300957,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7644631627430095,0.7644631627430095
testicular cancer,Testicular Cancer,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7897867387610567,0.7897867387610567,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7739786738761056,0.7739786738761056
thyroid disorders,Thyroid Disorders,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7268963511002585,0.7268963511002585,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7676896351100259,0.7676896351100259
tinnitus,Tinnitus,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5896991381737691,0.5896991381737691,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7539699138173769,0.7539699138173769
toxocariasis,Toxocariasis,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5707626557637502,0.5707626557637502,1.0,not yet verified,0.0,not manually reviewed,0.5,0.752076265576375,0.752076265576375
toxoplasmosis,Toxoplasmosis,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7767305533058126,0.7767305533058126,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7726730553305813,0.7726730553305813
trachoma,Trachoma,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5777748695552046,0.5777748695552046,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7527774869555204,0.7527774869555204
trichinellosis,Trichinellosis,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5862604628825693,0.5862604628825693,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7536260462882569,0.7536260462882569
trichuriasis,Trichuriasis,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,4.440892098500626e-16,4.440892098500626e-16,1.0,not yet verified,0.0,not manually reviewed,0.5,0.695,0.695
tuberculosis,Tuberculosis,3,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,0.29566481407392714,0.49693045965165117,0.49693045965165117,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7446930459651651,0.7446930459651651
tularemia,Tularemia,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.4186454363576685,0.4186454363576685,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7368645436357668,0.7368645436357668
tungiasis,Tungiasis,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7228702626764817,0.7228702626764817,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7672870262676481,0.7672870262676481
type 1 diabetes,Type 1 Diabetes,1,"Pitta, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5775978202256183,0.5775978202256183,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7527597820225618,0.7527597820225618
typhus,Typhus,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,not yet verified,0.0,not manually reviewed,0.5,0.695,0.695
ulcerative colitis,Ulcerative Colitis,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,4.440892098500626e-16,4.440892098500626e-16,1.0,not yet verified,0.0,not manually reviewed,0.5,0.695,0.695
urinary tract infections utis,Urinary Tract Infections (UTIs),1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.1608176804586413,0.1608176804586413,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7110817680458641,0.7110817680458641
varicose veins,Varicose Veins,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7755784363174225,0.7755784363174225,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7725578436317422,0.7725578436317422
viral infections,Viral Infections,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6191689658651034,0.6191689658651034,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7569168965865103,0.7569168965865103
vitiligo,Vitiligo,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7012533826122092,0.7012533826122092,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7651253382612209,0.7651253382612209
weight gain,Weight Gain,1,Kapha,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5489257284174094,0.5489257284174094,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7498925728417409,0.7498925728417409
west nile virus,West Nile Virus,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5445931885989482,0.5445931885989482,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7494593188598948,0.7494593188598948
whipple s disease,Whipple's Disease,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.490096811296027,0.490096811296027,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7440096811296026,0.7440096811296026
