normalized_condition_name,display_name,profile_count,dosha_combinations_present,relevant_fields_complete,missing_or_placeholder_fields,symptoms_completeness_score,dosha_clarity_score,diet_lifestyle_completeness_score,prevention_completeness_score,complications_referral_completeness_score,within_group_symptom_coherence,symptom_distinctiveness_score,distinctiveness_score,rule_potential_score,external_source_availability_status,external_source_availability_score,manageable_scope_status,manageable_scope_score,preliminary_data_score,selection_score
liver cirrhosis,Liver Cirrhosis,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7613617153017587,0.7613617153017587,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7711361715301758,0.7711361715301758
liver disorders,Liver Disorders,1,"Pitta, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.469783030849086,0.469783030849086,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7419783030849085,0.7419783030849085
loeys dietz syndrome,Loeys-Dietz Syndrome,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8030014875022035,0.8030014875022035,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7753001487502204,0.7753001487502204
loiasis,Loiasis,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7180733455782532,0.7180733455782532,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7668073345578252,0.7668073345578252
lowe syndrome,Lowe Syndrome,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6903631732191762,0.6903631732191762,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7640363173219176,0.7640363173219176
lung cancer,Lung Cancer,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.3120595644442703,0.3120595644442703,1.0,not yet verified,0.0,not manually reviewed,0.5,0.726205956444427,0.726205956444427
lyme disease,Lyme Disease,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7645998996057491,0.7645998996057491,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7714599899605749,0.7714599899605749
lymphadenopathy,Lymphadenopathy,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.0555801473071017,0.0555801473071017,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7005580147307101,0.7005580147307101
lymphatic filariasis,Lymphatic Filariasis,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6482211156195913,0.6482211156195913,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7598221115619591,0.7598221115619591
lymphoma,Lymphoma,2,"Pitta | Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,0.5,1.0,1.0,1.0,0.9999999999999999,0.06008904167846918,0.06008904167846918,0.9,not yet verified,0.0,not manually reviewed,0.5,0.6290089041678469,0.6290089041678469
