disease,profile_count
"Skin Infections (Bacterial, Fungal, Viral)",1
Wilson’s Disease,1
Sexual Dysfunction,1
Whipple's Disease,1
Sjogren's Syndrome,1
Sleeping Sickness (Trypanosomiasis),1
Septicemic Plague,1
Tay-Sachs Disease,1
Tendinitis,1
Tetanus,1
Rift Valley Fever,1
Polio,1
Polycystic Kidney Disease,1
Polycystic Ovary Syndrome (PCOS),1
Porphyria,1
Schistosomiasis,1
Scoliosis,1
Seborrheic Dermatitis,1
Thalassemia,1
Varicose Veins,1
Trichuriasis,1
Trichinellosis,1
Trachoma,1
Toxoplasmosis,1
Toxocariasis,1
Erectile Dysfunction,1
Ear Infections,1
Diverticulitis,1
Zoonotic Malaria,1
Systemic Lupus Erythematosus (SLE),1
Brain Tumors,1
Bronchiectasis,1
Stress,1
Anemia,1
Candidiasis,1
Acanthosis Nigricans,1
Weight Loss,1
Type 1 Diabetes,1
Raynaud's Disease,1
Ulcerative Colitis,1
Urinary Tract Infections (UTIs),1
Vitiligo,1
West Nile Virus,1
Yaws,1
Bladder Cancer,1
Testicular Cancer,1
Thyroid Cancer,1
Anxiety Disorder,1
Eczema (Atopic Dermatitis),1
Emphysema,1
Endometriosis,1
Duchenne Muscular Dystrophy,1
Paracoccidioidomycosis,1
Mitochondrial Myopathy,1
Angina,1
Tinnitus,1
Paragonimiasis,1
Aortic Aneurysm,1
Aphasia,1
Atopic Dermatitis,1
Autoimmune Hepatitis,1
Bacterial Infections,1
Yellow Fever,1
Thyroid Disorders,1
Tungiasis,1
"Autoimmune Diseases (e.g., Lupus)",1
Polycythemia Vera,1
Post-Traumatic Stress Disorder (PTSD),1
Prostate Enlargement (Benign Prostatic Hyperplasia),1
Psoriatic Arthritis,1
Hidradenitis Suppurativa,1
Herpes Simplex Virus (HSV),1
Graves' Disease,1
Stomach Cancer,1
Cirrhosis,1
Cleft Lip and Palate,1
Cold Sores,1
Conjunctivitis,1
COPD (Chronic Obstructive Pulmonary Disease),1
Cystitis,1
Diabetic Neuropathy,1
Nasal Polyps,1
Sinusitis,1
Myocardial Infarction (Heart Attack),1
Chronic Sinusitis,1
"Cancer (Breast Cancer, Lung Cancer, Prostate Cancer, etc.)",1
Diabetes Mellitus,1
"Hepatitis (A, B, C)",1
Weight Gain,1
Strep Throat,1
Cerebral Palsy,1
Spondylosis,1
Skin Infections,1
Hodgkin's Lymphoma,1
Hyperlipidemia,1
Spinal Cord Injury,1
Lymphadenopathy,1
Meniere's Disease,1
Multiple Myeloma,1
Hodgkin’s Lymphoma,1
